to,total_eth,total_transactions
\x4bddcbc1458ca81e8760fbe90e0f4c68fe3d087a,38.43713436,1
\x5ad999e810f7d55cbe312965d4c22d98da8d8e76,0.0324002,1
\xa4570dff0e534757b5bce0db9e119b7bc0d5aaa9,0.02471608,1
\xef99cdbd5cd2f0e2f62f3495760ff61687f71a64,0.4899139,1
\x108618d38a435f0b189590cc38ec3bd40fcc964e,0.069,1
\x4b1a507aa707d0951c56d9b1486b4a79215860d7,0.0349,1
\x573970345dbe436532d404f8898b9452f5d806ea,0.02888421,1
\xb3764761e297d6f121e79c32a65829cd1ddb4d32,0.0001,1
\xfc4e6e887f03bed2c194ca4c8d8f41eeb9e2a331,0.14513,1
\x9eec88c3d02b5a39193127ac14a125b7f0610b28,0.01251346,1
\xec75167604aaad0434752ad2c1d5863d4bf76895,0.02487,1
\x9474a5e0831c1cc71438fea2746a2aab9f34d4b6,0.12088,1
\x513ec82743eda08cf233b9255bd85812ebb888fd,0.00950485,1
\x7fdfaa3154d3cb82e90f5fde8c52a95d66211705,0.003433,1
\x6fddaa1bb2c3a01e80779442fddfef1ff7e7921f,0.07,1
\x93e79a0591fd3cb26807af65e787705c8dcd6f1c,0.03172,1
\x1f965d094abc3c99fb2063764c8ac6a54b7046f8,0.188911,1
\xaec2cc8986bb14c0c604d5adf725ba33920102bc,0.0001,1
\xf9ff11640d29aabcbf99554b135b09905588d592,0.01529682,1
\xc469d1c94887bdd02ee3c7bf9cc80b1d41f3ccbc,2.0001621898800006,1
\xcbd02526e0854001f97e13004a4bded8474409a1,0.311565,1
\x813ca840322e3795702300bb3ebaf7aee9af9536,1.999958,1
\xd52c412b295c24833bb28f2b532a771a7c7974e5,1.0,1
