from,total_eth,total_transactions
\x68aacf41fa22ecd5ca0bb102da46b0f503e2e168,3.99881178,1
\x7eee1ec1ebfca72baef8c6b5a2ea112f752def4a,0.25817283,1
\x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0.555,1
\x56c3396907f08c8d86266de2caf24e0520e4048d,1.33607971,1
\xfbae4266981a66c8c68572fff654eeb9d90fc3ea,0.5999748,1
\xdedaeb9f2ebfd958a6d45d893c810adf58c07294,0.45123672,1
\x40232a8105eb0346e33b0aa06996eaf4c3b4bfe0,1.780498,1
\x838f594d24f167fefb0f0a17f924f4ec8d367f7f,0.0390792100000004,1
\x68afd3b5ef3b2ea594944030cdd792a033fc5369,0.01917554,1
\x7c1d9f298603fb55eb1bdd27e797d2762029031c,0.5,1
\xc5a777d79747ef97ea11a5453901b494bf949e6d,0.5,1
\xfb892f56f3c0f1bd1cbab23a277564fee05462fa,0.50280286,1
\x4867f79500a564f5535def321f1cf893d2f372d3,0.5,1
\xdc92cff564547691c1649d4ee44878979e47bf41,1.887837,1
\x20198959506f520cac42ac187b61f001d13af6df,0.002,1
\xaf14f3a0b0fcab91099023a6f781af0fd970c7d6,0.98000098,1
\x38c3a504be26a371423844308b5db888d1a5f6cc,0.8,1
\xd6c50c37b052d87ae140c1b097b96e4bbfd26350,0.528808807,1
\x2ea21f724cab10a054cc5c966bc1b19029664911,0.001,1
\xc2efd11fa0491066aa174d25cafa509fc6d3e5fa,0.002,1
\x41d57e163b6c64fca2cd6535fcaa199b1fedd98b,0.046258,1
\x76714de404b956d54aa7d5e7f6fed2edf4655510,0.5,1
\x6ee4c9cb54c1e0797b3b5ade07241002a7cf9ab4,1.541880007777778,1
\x48ea507db663cfb8165cf35e5f3574458129398f,0.204874,1
\x50f6dd05ddac9dafc29573ef2e100ec22fb31514,0.60100097,1
\xb6109eb6fc7c5b76d0cde532b044dffaccb7fe38,0.054,1
\xd24400ae8bfebb18ca49be86258a3c749cf46853,1.0,1
\x6be5b7f6dc97f053d69ec15c1627f99e64dc97ce,0.6,1
\x9f5f8da744b608b2093176f4e9833bd0fa48f70a,20.0,1
\xd351556215d29f34764d5ef1c71eb7edd586dbf4,0.51,1
\x1b2f5afa51c645a39469e522de2af0d52c2c1905,0.07126568,1
\xed3e1767acf7704c3dbca03da4c0d76efbe713a0,0.5,1
\x4f6358c7f086939949ed324368b97a2f62483a09,0.0,1
\x4b6900a653b0d58acacd7c53c2036e32b5d4a316,0.74995149,1
\x9f483f4dc609c8adbdfc41eb583c68a4f2eb9715,0.15271839,1
\x4d3d0c0b1eb408ae7dc7c6cb4416e9fc2c484a73,0.6602987,1
\x3f703956199986af285808ddd5d3b498359bca5b,1e-05,1
\xa39163c0a12cf76ce1c7f750fd59b11fe790b0af,0.5,1
\xbaf4f07b3b5ac4173dfa5603462b2f03fe1912b3,0.5,1
\x7ea8031671f7981dd903f96ba7674dd464894a80,0.21,1
\x3d037995423df842e03f3e4fe2b8e58533784a78,0.5,1
\x32be343b94f860124dc4fee278fdcbd38c102d88,0.53817156,1
\x94bad3770d2a371a5667bdcbda0b6e49241ba754,0.099556034238853,1
\x1595c383f52e474b28b5e6b4b8f72e92c1461474,1.0,1
\x034d6e1a3a750205596bb799e6723c1e4a660c68,0.77,1
\x2901bf5a14794c94078c1761d1296de0f0a02b53,0.00263037,1
\x489a7127149b648aef39e30291edf8a54ea76a3d,1.99979,1
\x837088b0bfa5b4806d241285fde867a8133a0f32,0.5,1
\xfbbcdcbb1ca71763213491e46475fc7796ad09b0,0.09852423,1
\x2f7e7c566fd27ce93e448976d7e500f16d45d1bd,0.04,1
\x9b7ec32e632fa205b54c08651bcfa16c7297b691,0.25,1
\x7fa64fb1942d8823cd09bc112e49353b42e8fa10,0.7,1
\x71a900bf32ee77b57f221fc07009dd1ea5f8b003,1.0,1
\xd1b0ea61f5b9e1435eeffa6a3029e6e93b8c50ce,0.4,1
\x8d16f058ccb94655e9f8ad28fc23b6427de96f9a,0.02,1
\xe535bc2f805c7644699a1bb2420e65e1dd7e9407,1.88559252,1
\x37c3791408e3c8d28be172abf41100114cc30cd6,0.41670597,1
\x999a9ba5f06cff1fd628bea71407f217878660ff,0.00171924,1
\x4f3349ce28f51e1acd67734f96ca61c7efee32ba,0.6,1
\x43d8cc9d2d0d3265ecf322d6a97abfce7c560ee0,0.5,1
\xc47efafc51ed876426160555937064cd7bfcaf0b,0.5,1
\x53c20eb397a61d6636fa7b2cba30157438eb2dec,0.5,1
\xb0f6ec1275d458aae0d94314cede57bf47558751,0.5,1
\x859fc1a8637ae26f055306672263e8d674f236a6,0.5,1
\xd09b54352fad571e3beafa2d56810aa29e24b0e5,0.38,1
\x094210ea846116dde8230cd9f1b98db99d6e7b76,0.005,1
\xdbb312068ac472de15399356a90c583e78decdb7,0.5,1
\x61153655dea2831413bd4bd58d1640c4e42e73b2,0.00726684,1
\x1b5e9dc80a979ecb48ee600cc2216f266d4380d5,0.01,1
\x6c1ef173c74b96881bfdb990b06a23d7c87355e5,0.00150998,1
\x1324661d138d815f3a97cc2b678e1e946d0a7b85,0.00726685,1
\xb5ce1064fbee275afedbb7d3a7f6e8365bedd6b5,6e-05,1
\x5c00c07bb2411998962b0fd2e6a0a66235d36b24,0.03399999,1
\xe4b3dd9839ed1780351dc5412925cf05f07a1939,0.863,1
\xd2fe1258d2e40c98c43ece341f7711d5584d209d,3.0,1
\xd0621ac8c848cd3a6172fcbeb3dcb0cdc247d66b,0.5,1
\x9e069f91e065ecc4be913fc1eba2965dbc676227,0.22262955,1
\x897bf21bc5c6a3322040b6c09007cb23216a15d1,1.0,1
\x07db8822f7a399f087f8584f1d4a87881de3a158,0.52184509,1
\x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0.29,1
\x5e032243d507c743b061ef021e2ec7fcc6d3ab89,0.5,1
\x3557482f010da3b0997cf2e1c4f601b6bc2ab2fd,1.0,1
\xb999b1b6e774b43fd34aba1b64d59a9e46d9c0c8,2.0,1
\xc81bdae4ff7cc5a8dbc8082695eb3a9412f52dce,0.9,1
\x49d38a7af31cda61efa97d18f6b50c4a50e92f02,0.000324906943271603,1
\x203908f0dde350ce47ed110f3a71412bb79edbe1,0.5,1
\x76c335e7786a9e5dd1b88ce05f1f73080506c077,2.0,1
\xe70296fbdb7b18adefb88f3fef504d2fa1a16a09,0.10074,1
\x1677e57a3f7a2b964ecec6b9d2f52de95a0d2d3a,1.97745699,1
\x2b5634c42055806a59e9107ed44d43c426e58258,0.2,1
\xeb66e17b435afce6906fdf565ca2f5f20f5c47f7,1.0,1
\x1b501a39724e12969939a6e65dc32f4ee2dff744,0.49874,1
\xcda553ecf223c67cb3b54038079c01e62eb83791,1.04124308,1
\x4879285c05408fd196ebf9ddaab0bec403f9051f,0.5,1
\xe3ce20adce1bc902b305f7819165f1e05104c93e,1.9,1
\x38fcbe866505d99b88f97fdd6cb7be88ec7a3f9c,0.05282949,1
\xa930b8e25ce46dfd24a6b33d2b67768994b2e07a,0.6,1
\x1883a3ee38b530dc68f680154d20bfcc0c095f2b,5.28,1
\xc599178ce57bd2092c095d7da3437f780c61ed80,0.6,1
\x5166c9a4549790dcdfda33a05c7d9136e2fa11b0,0.5,1
\xf95db762b54b6e5d4fad59cd05789474b6c4bc62,0.5,1
\x53cbea87582a26b60b5f15ed87016486d0fd0550,0.5,1
\x742aad3a12d21ebacfdaa0f8075f893b8b630e54,0.8,1
\x9d65facd3da7a45c19593e32b79ed47b2cd9994e,0.002,1
