block_time,from,to,total_eth
2022-03-29T21:40:15+00:00,\x03cf40b900971561ac6bd997ef1fe939dcbc95e2,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0
2022-04-05T13:23:11+00:00,\x03cf40b900971561ac6bd997ef1fe939dcbc95e2,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0
2022-04-07T16:05:43+00:00,\xc9b1af85e32f378121e8cbd2c6511c291cbc4462,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0
2022-04-22T15:48:05+00:00,\x40225b91d29e27134bd81ab188fe318314ef0568,\x53b6936513e738f44fb50d2b9476730c0ab3bfc1,3.69e-06
2022-03-29T16:12:38+00:00,\x03cf40b900971561ac6bd997ef1fe939dcbc95e2,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0
2022-03-29T16:50:21+00:00,\x14021d4b0cb75c565124b17224e03fbfe58a96cc,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.001
2022-03-29T18:24:51+00:00,\x07cd0884bd08f547f1c0799fe7a7eb23d8fe4452,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.001
2022-03-29T18:09:45+00:00,\x2342b8412558605acbba5f98963c996726535b87,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.000586248944751899
2022-05-07T20:26:23+00:00,\x346e95e6b7d5b266b9fff6d2e7dadef84933bfe5,\x3e37627deaa754090fbfbb8bd226c1ce66d255e9,3.69e-05
2022-04-19T08:27:10+00:00,\x03cf40b900971561ac6bd997ef1fe939dcbc95e2,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0
2022-03-29T17:13:20+00:00,\x00bd22a92b900fb8448b28e2c2e81432e47ae2d2,\x098b716b8aaf21512996dc57eb0615e2383e2f96,6.66e-05
2022-04-12T12:01:41+00:00,\x03cf40b900971561ac6bd997ef1fe939dcbc95e2,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0
2022-05-13T03:33:27+00:00,\xf7b31119c2682c88d88d455dbb9d5932c65cf1be,\xc68b2c011f8df2190f239ddf5d49cb59324528e7,3003.3
2022-04-05T13:22:09+00:00,\x03cf40b900971561ac6bd997ef1fe939dcbc95e2,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0
2022-04-19T08:27:57+00:00,\x03cf40b900971561ac6bd997ef1fe939dcbc95e2,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0
2022-03-29T16:12:54+00:00,\x03cf40b900971561ac6bd997ef1fe939dcbc95e2,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0
2022-03-28T08:10:50+00:00,\x098b716b8aaf21512996dc57eb0615e2383e2f96,\xdb3a63562bb7afd44e6b6be8c8269f807c39f5fa,750.0
2022-03-23T14:00:43+00:00,\x098b716b8aaf21512996dc57eb0615e2383e2f96,\xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.0
2022-03-29T16:16:45+00:00,\xe9baa3f28df9d0646fa872b9c3ca2b9b14aeeed5,\x098b716b8aaf21512996dc57eb0615e2383e2f96,1e-05
2022-04-19T08:28:27+00:00,\x03cf40b900971561ac6bd997ef1fe939dcbc95e2,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0
2022-03-29T20:21:03+00:00,\x5a5444f6b5d511f61ff7c3152054d4030f3891ca,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0003
2022-04-19T08:25:48+00:00,\x03cf40b900971561ac6bd997ef1fe939dcbc95e2,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0
2022-03-30T16:13:55+00:00,\x1c75867c32b52ab33c1624a1e551a49d145f0127,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0001
2022-04-19T11:46:48+00:00,\x40225b91d29e27134bd81ab188fe318314ef0568,\xa0e1c89ef1a489c9c7de96311ed5ce5d32c20e4b,3.69e-06
