total_eth,ym
346.667582400649,2020-04-13T00:00:00+00:00
1.6191037598155376,2022-04-04T00:00:00+00:00
2015.3929828914002,2017-08-28T00:00:00+00:00
565.4391510179486,2020-02-10T00:00:00+00:00
675.3866903446177,2018-10-15T00:00:00+00:00
1032.4238093446281,2019-07-29T00:00:00+00:00
1995.324093637762,2018-10-29T00:00:00+00:00
0.1411,2022-04-18T00:00:00+00:00
604.7645769148779,2020-10-26T00:00:00+00:00
505.06434874274197,2020-03-02T00:00:00+00:00
1426.4913606537082,2018-11-12T00:00:00+00:00
209.63484075259922,2018-08-13T00:00:00+00:00
0.35188618,2022-05-09T00:00:00+00:00
859.2599358877375,2017-07-17T00:00:00+00:00
446.08790876666455,2020-01-06T00:00:00+00:00
363.413215854215,2018-07-23T00:00:00+00:00
535.8287806164859,2020-02-17T00:00:00+00:00
4512.3260272547695,2018-09-17T00:00:00+00:00
489.9789777279063,2019-05-06T00:00:00+00:00
0.03056,2022-08-15T00:00:00+00:00
1.3827523585483055,2021-10-18T00:00:00+00:00
5.092203611617687,2021-09-27T00:00:00+00:00
605.028941349153,2020-01-27T00:00:00+00:00
195.6040747060769,2020-05-11T00:00:00+00:00
6.89561421,2021-05-31T00:00:00+00:00
502.390934876827,2020-08-17T00:00:00+00:00
0.014,2022-05-02T00:00:00+00:00
214.0623817197396,2020-06-08T00:00:00+00:00
1046.2365337370957,2019-09-02T00:00:00+00:00
8053.381676625185,2018-09-24T00:00:00+00:00
410.07713057791796,2019-10-14T00:00:00+00:00
2679.3315288387494,2017-09-04T00:00:00+00:00
197.30723705904768,2017-10-09T00:00:00+00:00
826.0895566,2020-10-05T00:00:00+00:00
1262.8429788693263,2020-07-20T00:00:00+00:00
577.1051541498884,2019-09-16T00:00:00+00:00
398.2532645747284,2018-01-22T00:00:00+00:00
755.9572756064186,2019-07-22T00:00:00+00:00
766.3722088190734,2017-10-02T00:00:00+00:00
483.92039329020537,2020-02-03T00:00:00+00:00
8.15948763477332,2021-09-20T00:00:00+00:00
74.29224699024238,2017-09-25T00:00:00+00:00
7.660870931796599,2021-08-23T00:00:00+00:00
382.2011300067873,2020-01-13T00:00:00+00:00
0.0,2022-07-11T00:00:00+00:00
443.4864960159736,2018-11-19T00:00:00+00:00
140.33057312766948,2018-08-06T00:00:00+00:00
482.40384264579137,2018-06-11T00:00:00+00:00
0.0,2022-07-25T00:00:00+00:00
246.1429500477593,2018-11-26T00:00:00+00:00
1995.1339163283685,2018-10-01T00:00:00+00:00
74.93360559,2018-12-24T00:00:00+00:00
262.0073591792657,2019-07-01T00:00:00+00:00
0.87892145455373,2022-03-28T00:00:00+00:00
10.16621456,2022-02-21T00:00:00+00:00
347.57773873,2020-12-07T00:00:00+00:00
530.0416524888666,2018-04-02T00:00:00+00:00
1305.0857831917585,2020-07-27T00:00:00+00:00
523.5203553735372,2019-11-04T00:00:00+00:00
933.135120824106,2018-01-08T00:00:00+00:00
5.902589823362777,2021-10-11T00:00:00+00:00
1079.374161541991,2018-06-25T00:00:00+00:00
624.4832659195284,2020-11-16T00:00:00+00:00
9.12427475623917,2021-03-29T00:00:00+00:00
814.40568551614,2019-06-17T00:00:00+00:00
1.77088433750652,2021-07-26T00:00:00+00:00
1.23847216,2021-07-12T00:00:00+00:00
121.11341615375318,2018-02-12T00:00:00+00:00
129.8767305277559,2020-05-04T00:00:00+00:00
7.136793859634734,2021-11-15T00:00:00+00:00
201.3224700485,2019-12-02T00:00:00+00:00
182.67402332376327,2017-06-19T00:00:00+00:00
0.027197869500025,2022-04-25T00:00:00+00:00
0.0,2022-09-12T00:00:00+00:00
468.68269906541485,2018-02-26T00:00:00+00:00
3.064201482833552,2021-06-07T00:00:00+00:00
446.3360999319986,2019-08-26T00:00:00+00:00
5.08576791,2021-04-12T00:00:00+00:00
7.50868111448,2021-04-26T00:00:00+00:00
12.265201943784707,2021-05-03T00:00:00+00:00
234.34747421092436,2017-12-25T00:00:00+00:00
2875.709357108936,2017-10-16T00:00:00+00:00
23.628628078294295,2018-12-10T00:00:00+00:00
1.295899294343077,2021-12-06T00:00:00+00:00
318.91921611592744,2018-01-29T00:00:00+00:00
59.14566077227856,2019-02-18T00:00:00+00:00
214.31811696,2019-08-12T00:00:00+00:00
535.6586284651183,2019-09-09T00:00:00+00:00
53.24792302,2019-01-07T00:00:00+00:00
7.7106414209417995,2021-09-13T00:00:00+00:00
176.19854834872757,2017-10-23T00:00:00+00:00
228.5733930722288,2019-11-11T00:00:00+00:00
734.9534974928446,2018-07-02T00:00:00+00:00
734.7082568063389,2020-09-07T00:00:00+00:00
854.1169296270634,2018-01-15T00:00:00+00:00
5.2978487462174435,2022-02-14T00:00:00+00:00
462.14402080004123,2020-03-23T00:00:00+00:00
227.86062903554188,2020-03-16T00:00:00+00:00
714.8177002505091,2020-04-20T00:00:00+00:00
888.8304689289868,2020-08-10T00:00:00+00:00
32.62693404625003,2021-01-11T00:00:00+00:00
23.144812396648298,2022-01-17T00:00:00+00:00
3.0161,2022-02-28T00:00:00+00:00
659.3609364062777,2020-07-06T00:00:00+00:00
540.9081752344131,2020-01-20T00:00:00+00:00
2.4236430972729224,2021-08-30T00:00:00+00:00
1320.814833939942,2019-03-18T00:00:00+00:00
5.00490177057132,2021-09-06T00:00:00+00:00
263.01043838799995,2019-04-22T00:00:00+00:00
518.2944851497856,2020-04-06T00:00:00+00:00
13.01601769,2017-06-26T00:00:00+00:00
16.674096142487823,2021-04-05T00:00:00+00:00
673.9495906253268,2017-11-20T00:00:00+00:00
83.30556412473908,2017-11-27T00:00:00+00:00
386.282400371615,2017-12-18T00:00:00+00:00
1.2737215937312616,2021-07-05T00:00:00+00:00
3019.7165668595344,2018-09-10T00:00:00+00:00
993.8323168286283,2019-05-27T00:00:00+00:00
0.0,2022-08-22T00:00:00+00:00
241.9137003243893,2017-12-11T00:00:00+00:00
113.47898639675778,2018-08-20T00:00:00+00:00
54.11086833345565,2022-01-10T00:00:00+00:00
2645.9121000064742,2018-09-03T00:00:00+00:00
9.63341012,2017-06-12T00:00:00+00:00
276.78700280617994,2019-12-30T00:00:00+00:00
527.7167526333227,2019-08-19T00:00:00+00:00
279.379263050497,2018-07-30T00:00:00+00:00
252.37959316198206,2018-08-27T00:00:00+00:00
686.3908787302288,2018-05-28T00:00:00+00:00
69.0116326542623,2022-01-03T00:00:00+00:00
